Latitud,Longitud,Título
-12.04618639,-77.0361705,San Marcelo
-11.97452073,-76.7832822,Chaclacayo
-11.74608179,-76.01576332,Andaychagua
19.193327,-96.137751,Veracruz
-11.64448408,-76.23510453,Casapalca
-11.71181755,-76.08524358,Carahuacra
-9.654830152,-76.06701736,Pati
-9.600079829,-76.72558984,Ovilla
4.674036433,-75.78064651,Alcala
-25.20200364,-56.39783013,Caracayao
10.51452214,-66.91349508,Cuartel San Carlos
10.60090117,-66.9327836,Castillo de San Carlos
10.99751772,-63.7984622,San Carlos Borromeo
20.966709,-89.623222,Merida
-0.217570385,-78.51018967,Santa Barbara
-0.220186307,-78.51845383,San Roque
-0.229316738,-78.51335478,San Sebastian
-0.225140187,-78.50801385,San Marcos
-0.218558251,-78.50492046,San Blas
18.33691453,-66.99126515,Pepino
20.10600161,-99.72524307,Arroyo Sarco
20.52298998,-101.0619414,Molino Sarabia
21.16491248,-90.03325972,Vigia de Sisal
21.25239898,-89.8156188,Vigia de Chuburna
20.66971626,-88.15940528,Valladolid
21.29344056,-89.60711103,Vigia de Chicxulub
21.3226,-89.43285076,Vigia de Ixil
21.34243553,-89.26413186,Vigia de Telchac
21.3733,-89.01359866,Vigia de Santa Clara
21.39182826,-88.89289186,Vigia de Dzilam
21.56578829,-88.23247715,Vigia de Holkoben
21.51626168,-87.6778065,Vigia de Cuyo
29.04256709,-97.95036172,El Cibolo
29.89282117,-104.2682215,Cibolos
22.7758,-102.57148,Zacatecas
29.42451999,-98.49415522,Bexar
-7.156207436,-78.52205956,San Pedro
-7.152734878,-78.52058384,San Jose
-7.161099608,-78.51303902,San Sebastian
8.933562891,-78.90938568,Pasiga
8.469366253,-82.37248471,Jesus de las Maravillas
8.961553271,-83.2527259,Cabagra
27.2154539,-99.42645673,Dolores
27.48583932,-100.771834,El Alamo
27.11882406,-101.275808,Las Adjuntas
26.01053,-111.34301,Loreto Concho
27.04193687,-101.6930993,Carmen
27.21484621,-101.2122877,Loreto
26.95060356,-101.4025851,Estancia y Capellania
26.93150698,-101.4241354,San Miguel
27.00116658,-101.7230825,San Miguel
26.76926317,-101.96898,San Pablo
27.14819534,-101.6471899,Sardinas
27.18194256,-101.4285545,Abasolo
26.79055935,-102.0467884,Santa Tecla
27.026248,-107.739428,Batopilas
26.75189311,-102.0467884,Santiago
26.87523421,-100.5928289,Valladares
-19.52212114,-63.22953023,Saypuru
-19.78640575,-63.22571071,Obaig
-22.32860702,-64.52950662,Cuyambuyo
-14.22860472,-63.8003625,Carmen
-13.26571792,-64.61544426,San Ramon
-14.66554914,-66.1959762,San Pablo
-14.72142649,-66.09215172,San Luis
-12.34879707,-64.50527796,Santa Rosa
26.248791,-104.914429,Villa Hidalgo
-12.42816195,-64.44517073,Santa Rosa
-14.0120849,-64.70898089,San Juan
-13.32175917,-63.41785054,Patrocinio
27.19928554,-101.3571369,San Vicente abajo
26.8531,-100.6117,Guadalupe
26.90021352,-100.6443186,Chocolate
26.86095241,-100.6764414,San Matias
27.81720803,-101.5385674,Monte de Minas
27.83814729,-101.5664071,El Pobre
27.82030133,-101.4778911,Santa Gertrudis
25.2032,-106.7755,Sianori
27.92523556,-101.5369018,Santa Teresa
27.95883035,-101.5719534,San Andres
27.92277452,-101.4284659,San Antonio
27.89628452,-101.5572368,San Francisco Javier
27.89628452,-101.5572368,Santa Ana
27.89628452,-101.5572368,San Jose_a
27.89628452,-101.5572368,Dolores
29.08264316,-98.16199288,Las Cabras
26.89125596,-101.423825,Monclova
27.18421065,-101.2334054,El Tapado
27.2,-106.283333,Valle de Olivos
